date,Nike
2020-01-05,100.0
2020-01-12,102.40963855421687
2020-01-19,100.0
2020-01-26,102.40963855421687
2020-02-02,93.97590361445783
2020-02-09,95.18072289156626
2020-02-16,87.95180722891567
2020-02-23,87.95180722891567
2020-03-01,77.10843373493977
2020-03-08,74.6987951807229
2020-03-15,67.46987951807229
2020-03-22,36.144578313253014
2020-03-29,33.734939759036145
2020-04-05,30.120481927710845
2020-04-12,33.734939759036145
2020-04-19,31.325301204819276
2020-04-26,30.120481927710845
2020-05-03,36.144578313253014
2020-05-10,38.55421686746988
2020-05-17,45.78313253012048
2020-05-24,51.80722891566265
2020-05-31,56.626506024096386
2020-06-07,60.24096385542169
2020-06-14,66.26506024096386
2020-06-21,63.855421686746986
2020-06-28,62.65060240963855
2020-07-05,62.65060240963855
2020-07-12,56.626506024096386
2020-07-19,63.855421686746986
2020-07-26,67.46987951807229
2020-08-02,72.28915662650603
2020-08-09,68.67469879518072
2020-08-16,67.46987951807229
2020-08-23,68.67469879518072
2020-08-30,69.87951807228916
2020-09-06,79.51807228915662
2020-09-13,80.72289156626506
2020-09-20,75.90361445783132
2020-09-27,75.90361445783132
2020-10-04,74.6987951807229
2020-10-11,93.97590361445783
2020-10-18,97.59036144578313
2020-10-25,95.18072289156626
2020-11-01,96.3855421686747
2020-11-08,120.48192771084338
2020-11-15,109.63855421686748
2020-11-22,107.2289156626506
2020-11-29,103.6144578313253
2020-12-06,97.59036144578313
2020-12-13,98.79518072289157
2020-12-20,106.02409638554217
2020-12-27,95.18072289156626
2021-01-03,92.7710843373494
2021-01-10,92.7710843373494
2021-01-17,100.0
2021-01-24,107.2289156626506
2021-01-31,103.6144578313253
2021-02-07,114.4578313253012
2021-02-14,97.59036144578313
2021-02-21,95.18072289156626
2021-02-28,90.36144578313252
2021-03-07,89.1566265060241
2021-03-14,84.33734939759036
2021-03-21,85.5421686746988
2021-03-28,95.18072289156626
2021-04-04,83.13253012048193
2021-04-11,85.5421686746988
2021-04-18,74.6987951807229
2021-04-25,65.06024096385542
2021-05-02,68.67469879518072
2021-05-09,69.87951807228916
2021-05-16,68.67469879518072
2021-05-23,66.26506024096386
2021-05-30,77.10843373493977
2021-06-06,73.49397590361446
2021-06-13,73.49397590361446
2021-06-20,78.3132530120482
2021-06-27,84.33734939759036
2021-07-04,85.5421686746988
2021-07-11,85.5421686746988
2021-07-18,80.72289156626506
2021-07-25,83.13253012048193
