Nike
83
85
83
85
78
79
73
73
64
62
56
30
28
25
28
26
25
30
32
38
43
47
50
55
53
52
52
47
53
56
60
57
56
57
58
66
67
63
63
62
78
81
79
80
100
91
89
86
81
82
88
79
77
77
83
89
86
95
81
79
75
74
70
71
79
69
71
62
54
57
58
57
55
64
61
61
65
70
71
71
67
69
