M,19F,32CPH3941,착용감이 좋으며 구겨져도 썼을때 어색함이 없이 나름대로의 멋이 있음
M,19F,32CPHF941,연령 상관없이 좋아하심
M,19F,32CPHF941,디자인의 유니크함 다른 브랜드에서 만들지 못하는 특이한 디자인이 특징
M,19F,32CPHF941,"남자가 쓰기에는 좀 과함 , 여성고객들 위주의 디자인"
M,19F,32CPH8941,20~30대 남성.
M,19F,32CPH8941,디자인이 유니크해서
M,19F,32CPH8941,작은사이즈 하나더 나왔으면 좋겠음.
M,19F,32CPHE941,20~30대
M,19F,32CPHE941,버킷햇중 가장 심플하면서도 멋스러운 표준디자인
M,19F,32CPHE941,"시크하면서도 평범한 디자인 ,연출에따라 달라지는 햇"
M,19F,32CPH8941,30대 남녀 
M,19F,32CPH8941,다른 디자인에 밀리기는 하나 역쉬 반응이 나쁘지 않음 소재감으로 운동할때도 찾으심 
M,19F,32CPH8941,무난하지만 챙의 로고로 세련됨 
M,19F,32CPHA941,"여성분들에게 쓰기 아주예쁘고, 사이즈도 하나가 더 나와주니 판매가 잘됨."
M,19F,32CPHG941,2030대
M,19F,32CPHG941,여성스러움
M,19F,32CPHG941,여자 쓰기에 좋음
M,19F,32CPHA941,"싸이즈나와 편함,"
M,19F,32CPH8941,햇빛을 많이 가려주면서도 튀지않을만한 디자인을 찾으시는 고객님들이 편하게 쓸 목적으로 구매하심.
M,19F,32CPH8941,젊은 연령층은아닌 40대 중후반 여성 고객님들이 찾으심
M,19F,32CPH8941,다른 소재보단 가벼운 느낌을 받긴함 . 근데 그닥 이쁘진않음 . 
M,19F,32CPHU941,2030대
M,19F,32CPHU941,여성스럽고 예쁨
M,19F,32CPHU941,여성고객이 많을듯
M,19F,32CPHD941,20~30
M,19F,32CPH1941,20대부터 4-50대 까지의 여성고객
M,19F,32CPH1941,차양을 위한 여행용모자/특이하고 고급스러운 디자인의 햇을 찾는분들
M,19F,32CPH1941,핏은 주 구매 연령대에 맞게 잘 나온 느낌. 깊이가 더 얕아져도 좋을듯함
M,19F,32CPH9941,주로 2-30대 여성고객
M,19F,32CPH9941,무난하게 코디할수있는 햇을 찾는 젊은층
M,19F,32CPH9941,"깊이감,넓이 등등 적당하나 챙 끝부분이 약간 퍼지는 느낌 들어 아쉬움"
M,19F,32CPHA941,2-30대부터 기존 햇들을 부담스럽게 느끼는 중년여성층
M,19F,32CPHA941,차양을 목적으로한 야외활동용 모자/무난한 디자인의 햇
M,19F,32CPHA941,효과적인 차양이 되는 핏으로 인기가 좋음 
M,19F,32CPH8941,30~40대 
M,19F,32CPH8941,차양 목적으로 착용시 편리함
M,19F,32CPH8941,여성고객들에게 사이즈가 큽니다
M,19F,32CPHI941,10대 20대 여성분들
M,19F,32CPHI941,적당한핏과 포인트가과하지않아서
M,19F,32CPHI941,예쁘고 편하다.
M,19F,32CPH1941,"20~40대 여성고객 ,"
M,19F,32CPH1941,예뻐서
M,19F,32CPH1941,여성분들이 쓰기엔 딱 좋으나 남성분들이 쓰기엔 작음 
M,19F,32CPHA941,20.30대여성
M,19F,32CPHA941,디자인이귀여워서
M,19F,32CPHA941,깊이와사이즈가적덩합니다
M,19F,32CPHG941,20대 여성
M,19F,32CPHG941,디자인
M,19F,32CPHG941,깊으면서 창은 짧아서 쓰면 좀 어정쩡한 느낌. 
M,19F,32CPH8941,30-40대 남자분
M,19F,32CPH8941,디자인이 깔끔하고 가벼운소재
M,19F,32CPH8941,깔끔하고 넉넉한싸이즈로 남자분들에게 인기있는 스타일
M,19F,32CPH3941,10~20대 남성고객층
M,19F,32CPH3941,유니크한 디자인
M,19F,32CPH3941,유니크해서 멋있음
M,19F,32CPHC941,연령 상관없이 많이 찾으심
M,19F,32CPHC941,눈쪽라인도 딱맞춰서 쓸수 있어 약간의 시크함을 표현하기에 적합
M,19F,32CPHC941,다른 브랜드와 비교해도 사이즈나 디자인에 있어서 꿀리지않음
M,19F,32CPHD941,20대~30대 연령대가 많이 쓰심
M,19F,32CPHD941,너무 심플하지도 과하지도 않아 부담없이 쓸수 있는 장점
