MISSION_SEQ,INFL_CHANNEL_NICK,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,follower_score,LIKE_CNT,REPLY_CNT,CONTENT_QLTY,HASHTAG_CMPLN,interaction,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
177,_sunheekimm,https://www.instagram.com/p/CDwH4SiHbRa/,2020-08-11,2020-09-04,14468,10,553,0,40.0,20.0,553,10,-24 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
177,ssu_ming,https://www.instagram.com/p/CD2rwKknb10/,2020-08-14,2020-09-04,9629,5,199,14,40.0,20.0,213,1,-21 days +00:00:00.000000000,1.0,10.0,20.0,36.0,C
177,godo.re,https://www.instagram.com/p/CEBkF8bD9cm/,2020-08-18,2020-09-04,14882,10,891,57,40.0,20.0,948,10,-17 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
177,djpeachade,https://www.instagram.com/p/CEZvS6PH9OU/,2020-08-28,2020-09-04,1708,5,91,4,20.0,20.0,95,1,-7 days +00:00:00.000000000,1.0,10.0,10.0,26.0,C
177,kimta_younq,https://www.instagram.com/p/CEBx3GTnOU3/,2020-08-18,2020-09-04,2694,5,221,11,10.0,20.0,232,5,-17 days +00:00:00.000000000,1.0,10.0,5.0,25.0,C
177,heetico_co,https://www.instagram.com/p/CDtDpg8lmJ9/,2020-08-10,2020-09-04,21119,10,754,24,40.0,20.0,778,10,-25 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
177,xhaenax,https://www.instagram.com/p/CEgKr3ZHMMU/,2020-08-30,2020-09-04,123608,25,1227,15,40.0,20.0,1242,15,-5 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
177,jjekkany,https://www.instagram.com/p/CDqlt5fgwjT/,2020-08-09,2020-09-04,39014,15,906,26,40.0,20.0,932,10,-26 days +00:00:00.000000000,1.0,10.0,20.0,55.0,B
177,noooooooju,https://www.instagram.com/p/CDqB4HNlbRB/,2020-08-09,2020-09-04,18874,10,204,3,40.0,20.0,207,1,-26 days +00:00:00.000000000,1.0,10.0,20.0,41.0,C
177,da_yommmi,https://www.instagram.com/p/CDkvTYeg-t-/,2020-08-07,2020-09-04,132449,25,2557,20,40.0,20.0,2577,15,-28 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
177,rolemodel_ryu,https://www.instagram.com/p/CDvmWRPluRG/,2020-08-11,2020-09-04,150599,25,5339,53,40.0,20.0,5392,20,-24 days +00:00:00.000000000,1.0,10.0,20.0,75.0,B
177,m.sik,https://www.instagram.com/p/CD23m-Wns4D/,2020-08-14,2020-09-04,23833,10,505,8,40.0,20.0,513,5,-21 days +00:00:00.000000000,1.0,10.0,20.0,45.0,C
177,yeonpilates,https://www.instagram.com/p/CDoC3lpAMhT/,2020-08-08,2020-09-04,253134,25,1438,31,40.0,20.0,1469,15,-27 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
177,somevely,https://www.instagram.com/p/CDyi1AvB7-c/,2020-08-12,2020-09-04,39484,15,386,35,40.0,20.0,421,5,-23 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
177,dj_siena,https://www.instagram.com/p/CDqKBSul4ZZ/,2020-08-09,2020-09-04,629646,35,9803,82,40.0,20.0,9885,20,-26 days +00:00:00.000000000,1.0,10.0,20.0,85.0,A
177,pongnim_c,https://www.instagram.com/p/CD_YpWPpA9D/,2020-08-17,2020-09-04,146753,25,1902,87,40.0,20.0,1989,15,-18 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
177,realsei,https://www.instagram.com/p/CDq8R61hpVj/,2020-08-09,2020-09-04,24753,10,556,0,40.0,20.0,556,10,-26 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
177,shinnashinna,https://www.instagram.com/p/CDqFP_In4x1/,2020-08-09,2020-09-04,3268,5,142,0,40.0,20.0,142,1,-26 days +00:00:00.000000000,1.0,10.0,20.0,36.0,C
177,shinsoo0825,https://www.instagram.com/p/CEGHHEABhjR/,2020-08-20,2020-09-04,12101,10,665,17,40.0,20.0,682,10,-15 days +00:00:00.000000000,1.0,10.0,20.0,50.0,C
177,euddeume_,https://www.instagram.com/p/CDjU8-fpYOj/,2020-08-06,2020-09-04,399264,30,5481,17,30.0,20.0,5498,20,-29 days +00:00:00.000000000,1.0,10.0,15.0,75.0,B
177,foxy.is.me,https://www.instagram.com/p/CEs3qJBnM8j/,2020-09-04,2020-09-04,74945,20,470,3,40.0,20.0,473,5,0 days 00:00:00.000000000,1.0,10.0,20.0,55.0,B
