partcode,bg1,bg2,bg3,bg4,cp0,cp1,cp2,p3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,cp12,cp13,cp14,cp15,sh1,sh2,sh3,sh4,sh5,sh6,sh7,outer1,outer2,outer3,outer4,outer5,outer6,outer7,outer8,outer9,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,keywords
32CP77931,,,,,MLB모자,MLB볼캡,,,,,,MLB CP77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP78911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP79911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP82911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP84911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP85911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP85931,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP88911,,,,,MLB모자,MLB볼캡,,,,,,,MLB CP88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP88931,,,,,MLB모자,MLB볼캡,,,,,,,MLB CP88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CP89911,,,,,MLB모자,,,,,,,,,,MLB스냅백,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPA1911,,,,,MLB모자,,,,,,,,,,MLB스냅백,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAA911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAB911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBR931,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAC911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAD911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAE911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAR911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAT911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPAU911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB1931,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB2911,,,,,MLB모자,,,,,,,,,,MLB스냅백,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB3911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB4911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB5931,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB6911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB7911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB8911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPB9911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBA911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBB911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
