partcode,bg1,bg2,bg3,bg4,cp0,cp1,cp2,p3,cp4,cp5,cp6,cp7,cp8,cp9,cp10,cp11,cp12,cp13,cp14,cp15,sh1,sh2,sh3,sh4,sh5,sh6,sh7,outer1,outer2,outer3,outer4,outer5,outer6,outer7,outer8,outer9,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,keywords
32CPBC931,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBD911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBE911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBF911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBG911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBH911,,,,,MLB모자,,MLB겨울모자,,MLB모노그램모자,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBJ911,,,,,MLB모자,,MLB겨울모자,,MLB모노그램모자,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPBT911,,,,,MLB모자,,MLB겨울모자,,,,,,,MLB비니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPCA911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPCB911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPCC911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32CPCD911,,,,,MLB모자,MLB볼캡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
